Date,"AUD/USD(Open, Ask)","AUD/USD(High, Ask)","AUD/USD(Low, Ask)","AUD/USD(Close, Ask)","AUD/USD(Open, Bid)*","AUD/USD(High, Bid)*","AUD/USD(Low, Bid)*","AUD/USD(Close, Bid)*","HISTORICAL SSI(AUD/USD, SSI).SSI"
08/05/2016 00:00:00,0.73722,0.73722,0.73722,0.73722,0.73607,0.73607,0.73607,0.73607,-1.0866
06/05/2016 20:00:00,0.73677,0.73722,0.73557,0.73722,0.73657,0.73692,0.73538,0.73607,1.8357
06/05/2016 16:00:00,0.73608,0.73747,0.73495,0.73677,0.73588,0.73729,0.73477,0.73657,1.7352
06/05/2016 12:00:00,0.73734,0.73971,0.73386,0.73608,0.73717,0.73933,0.73368,0.73588,1.6431
06/05/2016 08:00:00,0.73916,0.74000,0.73615,0.73734,0.73897,0.73982,0.73600,0.73717,1.5467
06/05/2016 04:00:00,0.74646,0.74700,0.73834,0.73916,0.74628,0.74682,0.73814,0.73897,1.4095
06/05/2016 00:00:00,0.74687,0.74793,0.74617,0.74646,0.74609,0.74775,0.74598,0.74628,1.4001
05/05/2016 20:00:00,0.74722,0.74723,0.74570,0.74687,0.74704,0.74705,0.74551,0.74609,1.3704
05/05/2016 16:00:00,0.75109,0.75113,0.74619,0.74722,0.75090,0.75094,0.74603,0.74704,1.3650
05/05/2016 12:00:00,0.74877,0.75114,0.74667,0.75109,0.74859,0.75095,0.74648,0.75090,1.2433
05/05/2016 08:00:00,0.74944,0.75150,0.74763,0.74877,0.74926,0.75133,0.74745,0.74859,1.2176
05/05/2016 04:00:00,0.74595,0.74965,0.74594,0.74944,0.74578,0.74947,0.74575,0.74926,1.2018
05/05/2016 00:00:00,0.74617,0.74686,0.74546,0.74595,0.74506,0.74668,0.74505,0.74578,1.3061
04/05/2016 20:00:00,0.74586,0.74645,0.74475,0.74617,0.74567,0.74626,0.74462,0.74506,1.3023
04/05/2016 16:00:00,0.74793,0.74874,0.74513,0.74586,0.74774,0.74857,0.74495,0.74567,1.2670
04/05/2016 12:00:00,0.74850,0.74999,0.74602,0.74793,0.74830,0.74967,0.74600,0.74774,1.2403
04/05/2016 08:00:00,0.74991,0.75185,0.74774,0.74850,0.74972,0.75167,0.74753,0.74830,1.1400
04/05/2016 04:00:00,0.75021,0.75092,0.74682,0.74991,0.75003,0.75073,0.74661,0.74972,1.2243
04/05/2016 00:00:00,0.74857,0.75111,0.74836,0.75021,0.74833,0.75097,0.74810,0.75003,1.3372
03/05/2016 20:00:00,0.74980,0.75076,0.74848,0.74857,0.74962,0.75057,0.74821,0.74833,1.3276
03/05/2016 16:00:00,0.75312,0.75373,0.74902,0.74980,0.75294,0.75354,0.74883,0.74962,1.2585
03/05/2016 12:00:00,0.75965,0.75988,0.75188,0.75312,0.75945,0.75968,0.75181,0.75294,1.1182
03/05/2016 08:00:00,0.75628,0.76320,0.75568,0.75965,0.75607,0.76301,0.75547,0.75945,-1.0871
03/05/2016 04:00:00,0.76770,0.77220,0.75577,0.75628,0.76752,0.77183,0.75554,0.75607,-1.0340
03/05/2016 00:00:00,0.76697,0.76813,0.76605,0.76770,0.76649,0.76796,0.76581,0.76752,-1.0950
02/05/2016 20:00:00,0.76566,0.76727,0.76537,0.76697,0.76548,0.76707,0.76519,0.76649,-1.0986
02/05/2016 16:00:00,0.76397,0.76597,0.76103,0.76566,0.76378,0.76578,0.76087,0.76548,-1.0529
02/05/2016 12:00:00,0.76130,0.76549,0.76130,0.76397,0.76112,0.76529,0.76112,0.76378,-1.0007
02/05/2016 08:00:00,0.75996,0.76210,0.75957,0.76130,0.75977,0.76192,0.75938,0.76112,1.0745
02/05/2016 04:00:00,0.76127,0.76186,0.75960,0.75996,0.76108,0.76168,0.75942,0.75977,1.0870
02/05/2016 00:00:00,0.76002,0.76230,0.75949,0.76127,0.75962,0.76212,0.75913,0.76108,1.0101
01/05/2016 20:00:00,0.76098,0.76142,0.75962,0.76002,0.75971,0.76048,0.75913,0.75962,1.0284
29/04/2016 20:00:00,0.76035,0.76169,0.75883,0.76098,0.76016,0.76120,0.75864,0.75971,1.0284
29/04/2016 16:00:00,0.76243,0.76382,0.76007,0.76035,0.76224,0.76368,0.75987,0.76016,1.0280
29/04/2016 12:00:00,0.76285,0.76485,0.76203,0.76243,0.76264,0.76467,0.76185,0.76224,-1.0120
29/04/2016 08:00:00,0.76583,0.76697,0.76234,0.76285,0.76564,0.76677,0.76217,0.76264,-1.0026
29/04/2016 04:00:00,0.76373,0.76585,0.76308,0.76583,0.76353,0.76566,0.76286,0.76564,-1.0920
29/04/2016 00:00:00,0.76295,0.76396,0.76244,0.76373,0.76219,0.76377,0.76212,0.76353,-1.0098
28/04/2016 20:00:00,0.76360,0.76505,0.76231,0.76295,0.76341,0.76485,0.76211,0.76219,-1.0003
28/04/2016 16:00:00,0.76105,0.76476,0.75953,0.76360,0.76087,0.76459,0.75936,0.76341,-1.0397
28/04/2016 12:00:00,0.76390,0.76403,0.76012,0.76105,0.76368,0.76383,0.75994,0.76087,1.0401
28/04/2016 08:00:00,0.76135,0.76591,0.76098,0.76390,0.76118,0.76567,0.76080,0.76368,-1.0123
28/04/2016 04:00:00,0.75911,0.76205,0.75779,0.76135,0.75892,0.76186,0.75758,0.76118,-1.0432
