Date,"EUR/USD(Open, Ask)*","EUR/USD(High, Ask)*","EUR/USD(Low, Ask)*","EUR/USD(Close, Ask)*","HISTORICAL SSI(EUR/USD, SSI).SSI"
15/4/2016,1.12698,1.13177,1.12467,1.12879,-1.6693
14/4/2016,1.12763,1.12958,1.12347,1.12698,-1.6693
13/4/2016,1.13881,1.13933,1.12691,1.12763,-1.4187
12/4/2016,1.14115,1.14657,1.13463,1.13881,-2.0779
11/4/2016,1.14192,1.14483,1.13731,1.14115,-2.2461
8/4/2016,1.13801,1.14202,1.13498,1.14059,-2.4646
7/4/2016,1.14011,1.14551,1.13382,1.13801,-2.2108
6/4/2016,1.13912,1.14326,1.13275,1.14011,-2.2634
5/4/2016,1.13940,1.14060,1.13366,1.13912,-2.4991
4/4/2016,1.14016,1.14135,1.13581,1.13940,-2.4233
1/4/2016,1.13839,1.14385,1.13353,1.14001,-2.5037
31/3/2016,1.13427,1.14127,1.13109,1.13839,-2.3713
30/3/2016,1.12926,1.13660,1.12846,1.13427,-2.0973
29/3/2016,1.11981,1.13041,1.11698,1.12926,-1.9021
28/3/2016,1.11664,1.12207,1.11537,1.11981,-1.4188
25/3/2016,1.11776,1.11833,1.11547,1.11722,-1.3889
24/3/2016,1.11862,1.11885,1.11448,1.11776,-1.4158
23/3/2016,1.12182,1.12244,1.11602,1.11862,-1.4429
22/3/2016,1.12441,1.12607,1.11893,1.12182,-1.5238
21/3/2016,1.12698,1.12855,1.12350,1.12441,-1.5888
18/3/2016,1.13201,1.13377,1.12568,1.12743,-1.8503
17/3/2016,1.12254,1.13433,1.12056,1.13201,-2.1247
16/3/2016,1.11130,1.12434,1.10585,1.12254,-1.6851
15/3/2016,1.11067,1.11255,1.10726,1.11130,-1.1354
14/3/2016,1.11410,1.11776,1.10784,1.11067,-1.2059
11/3/2016,1.11849,1.12105,1.10812,1.11510,-1.5215
10/3/2016,1.10035,1.12189,1.08222,1.11849,-1.9313
9/3/2016,1.10117,1.10356,1.09467,1.10035,-1.3199
8/3/2016,1.10154,1.10586,1.09942,1.10117,-1.2304
7/3/2016,1.09944,1.10265,1.09407,1.10154,-1.2620
4/3/2016,1.09577,1.10442,1.09042,1.10139,-1.1498
3/3/2016,1.08694,1.09737,1.08542,1.09577,-1.1578
2/3/2016,1.08707,1.08818,1.08263,1.08694,1.0856
1/3/2016,1.08739,1.08944,1.08349,1.08707,1.0939
29/2/2016,1.09184,1.09631,1.08597,1.08739,1.1265
26/2/2016,1.10190,1.10691,1.09125,1.09367,1.0706
25/2/2016,1.10144,1.10505,1.09874,1.10190,-1.1077
