Date,"EUR/USD(Open, Ask)","EUR/USD(High, Ask)","EUR/USD(Low, Ask)","EUR/USD(Close, Ask)","EUR/USD(Open, Bid)*","EUR/USD(High, Bid)*","EUR/USD(Low, Bid)*","EUR/USD(Close, Bid)*","MVA(EUR/USD.Open,7)","HISTORICAL SSI(EUR/USD, SSI).SSI"
08/05/2016 00:00:00,1.14113,1.14113,1.14113,1.14113,1.13984,1.13984,1.13984,1.13984,1.1412,-2.5859
06/05/2016 20:00:00,1.14254,1.14295,1.13874,1.14113,1.14241,1.14280,1.13860,1.13984,1.1413,-1.7199
06/05/2016 16:00:00,1.14366,1.14428,1.14020,1.14254,1.14351,1.14415,1.14007,1.14241,1.1415,-1.7173
06/05/2016 12:00:00,1.14233,1.14842,1.14029,1.14366,1.14219,1.14770,1.14013,1.14351,1.1415,-1.7935
06/05/2016 08:00:00,1.14038,1.14283,1.13973,1.14233,1.14025,1.14270,1.13960,1.14219,1.1424,-1.7569
06/05/2016 04:00:00,1.13975,1.14101,1.13968,1.14038,1.13961,1.14089,1.13954,1.14025,1.1436,-1.6951
06/05/2016 00:00:00,1.14070,1.14070,1.13933,1.13975,1.14032,1.14053,1.13921,1.13961,1.1448,-1.6803
05/05/2016 20:00:00,1.14126,1.14133,1.13942,1.14070,1.14115,1.14120,1.13928,1.14032,1.1462,-1.6935
05/05/2016 16:00:00,1.14348,1.14371,1.13865,1.14126,1.14335,1.14360,1.13853,1.14115,1.1473,-1.7317
05/05/2016 12:00:00,1.14391,1.14456,1.14186,1.14348,1.14378,1.14443,1.14173,1.14335,1.1481,-1.9292
05/05/2016 08:00:00,1.14848,1.14946,1.14336,1.14391,1.14835,1.14932,1.14323,1.14378,1.1488,-2.1058
05/05/2016 04:00:00,1.14860,1.14943,1.14828,1.14848,1.14847,1.14931,1.14813,1.14835,1.1491,-2.2497
05/05/2016 00:00:00,1.14902,1.14941,1.14836,1.14860,1.14851,1.14925,1.14825,1.14847,1.1493,-2.2833
04/05/2016 20:00:00,1.14978,1.15036,1.14846,1.14902,1.14964,1.15023,1.14828,1.14851,1.1499,-2.2488
04/05/2016 16:00:00,1.14941,1.15189,1.14670,1.14978,1.14928,1.15175,1.14657,1.14964,1.1507,-2.2793
04/05/2016 12:00:00,1.14899,1.15305,1.14740,1.14941,1.14884,1.15291,1.14727,1.14928,1.1521,-2.2154
04/05/2016 08:00:00,1.14881,1.15122,1.14702,1.14899,1.14867,1.15109,1.14689,1.14884,1.1527,-2.3357
04/05/2016 04:00:00,1.15059,1.15094,1.14771,1.14881,1.15046,1.15080,1.14760,1.14867,1.1534,-2.3983
04/05/2016 00:00:00,1.14984,1.15067,1.14934,1.15059,1.14954,1.15053,1.14925,1.15046,1.1537,-2.3624
03/05/2016 20:00:00,1.15274,1.15393,1.14963,1.14984,1.15260,1.15379,1.14945,1.14954,1.1541,-2.3012
03/05/2016 16:00:00,1.15544,1.15644,1.15018,1.15274,1.15531,1.15632,1.15004,1.15260,1.1535,-2.3629
03/05/2016 12:00:00,1.15931,1.16016,1.15484,1.15544,1.15917,1.16002,1.15470,1.15531,1.1524,-2.5347
03/05/2016 08:00:00,1.15332,1.16174,1.15277,1.15931,1.15319,1.16158,1.15265,1.15917,1.1506,-2.7288
03/05/2016 04:00:00,1.15346,1.15426,1.15232,1.15332,1.15334,1.15414,1.15216,1.15319,1.1498,-2.6514
03/05/2016 00:00:00,1.15349,1.15404,1.15217,1.15346,1.15289,1.15391,1.15203,1.15334,1.1487,-2.6711
02/05/2016 20:00:00,1.15247,1.15370,1.15150,1.15349,1.15233,1.15356,1.15135,1.15289,1.1475,-2.6727
02/05/2016 16:00:00,1.14845,1.15364,1.14699,1.15247,1.14831,1.15342,1.14687,1.15233,1.1463,-2.5412
02/05/2016 12:00:00,1.14796,1.15021,1.14733,1.14845,1.14784,1.15011,1.14720,1.14831,1.1453,-2.4399
02/05/2016 08:00:00,1.14673,1.14849,1.14490,1.14796,1.14660,1.14832,1.14476,1.14784,1.1439,-2.5040
02/05/2016 04:00:00,1.14752,1.14823,1.14644,1.14673,1.14737,1.14808,1.14631,1.14660,1.1429,-2.4983
02/05/2016 00:00:00,1.14647,1.14812,1.14539,1.14752,1.14568,1.14799,1.14523,1.14737,1.1413,-2.5469
01/05/2016 20:00:00,1.14565,1.14647,1.14334,1.14647,1.14448,1.14624,1.14288,1.14568,1.1397,-2.5486
29/04/2016 20:00:00,1.14408,1.14592,1.14343,1.14565,1.14396,1.14555,1.14329,1.14448,1.1382,-2.5486
29/04/2016 16:00:00,1.14154,1.14601,1.14130,1.14408,1.14141,1.14588,1.14116,1.14396,1.1368,-2.5313
29/04/2016 12:00:00,1.13801,1.14325,1.13772,1.14154,1.13778,1.14314,1.13756,1.14141,1.1360,-2.2012
29/04/2016 08:00:00,1.13946,1.14153,1.13707,1.13801,1.13936,1.14138,1.13693,1.13778,1.1354,-2.0758
29/04/2016 04:00:00,1.13640,1.13955,1.13633,1.13946,1.13626,1.13943,1.13620,1.13936,1.1342,-2.1649
29/04/2016 00:00:00,1.13552,1.13670,1.13500,1.13640,1.13477,1.13658,1.13454,1.13626,1.1336,-2.0356
28/04/2016 20:00:00,1.13379,1.13625,1.13371,1.13552,1.13365,1.13615,1.13357,1.13477,1.1332,-1.9726
28/04/2016 16:00:00,1.13463,1.13505,1.13110,1.13379,1.13450,1.13491,1.13096,1.13365,1.1329,-1.8126
28/04/2016 12:00:00,1.13595,1.13660,1.13375,1.13463,1.13579,1.13647,1.13362,1.13450,1.1326,-1.9000
28/04/2016 08:00:00,1.13365,1.13688,1.13283,1.13595,1.13354,1.13673,1.13270,1.13579,1.1317,-1.9579
28/04/2016 04:00:00,1.13111,1.13452,1.12969,1.13365,1.13097,1.13436,1.12955,1.13354,1.1313,-1.9091
28/04/2016 00:00:00,1.13304,1.13304,1.13104,1.13111,1.13192,1.13285,1.13087,1.13097,1.1310,-1.8232
27/04/2016 20:00:00,1.13247,1.13630,1.12728,1.13304,1.13234,1.13613,1.12705,1.13192,1.1307,-1.8598
27/04/2016 16:00:00,1.13165,1.13297,1.13025,1.13247,1.13152,1.13283,1.13015,1.13234,1.1304,-1.7935
27/04/2016 12:00:00,1.13226,1.13227,1.12939,1.13165,1.13212,1.13215,1.12925,1.13152,1.1301,-1.6715
27/04/2016 08:00:00,1.12976,1.13343,1.12922,1.13226,1.12962,1.13329,1.12907,1.13212,1.1293,-1.7402
27/04/2016 04:00:00,1.13040,1.13126,1.12954,1.12976,1.13027,1.13112,1.12939,1.12962,1.1288,-1.5316
27/04/2016 00:00:00,1.13011,1.13067,1.12948,1.13040,1.12949,1.13056,1.12928,1.13027,1.1283,-1.6207
26/04/2016 20:00:00,1.12959,1.13065,1.12809,1.13011,1.12945,1.13022,1.12794,1.12949,1.1279,-1.6541
26/04/2016 16:00:00,1.13083,1.13403,1.12936,1.12959,1.13066,1.13390,1.12926,1.12945,1.1272,-1.6725
26/04/2016 12:00:00,1.12934,1.13199,1.12713,1.13083,1.12921,1.13184,1.12700,1.13066,1.1265,-1.5872
26/04/2016 08:00:00,1.12635,1.13008,1.12571,1.12934,1.12620,1.12994,1.12558,1.12921,1.1257,-1.5732
26/04/2016 04:00:00,1.12661,1.12763,1.12613,1.12635,1.12647,1.12750,1.12599,1.12620,1.1252,-1.5528
26/04/2016 00:00:00,1.12701,1.12772,1.12650,1.12661,1.12644,1.12729,1.12605,1.12647,1.1245,-1.5772
25/04/2016 20:00:00,1.12668,1.12788,1.12590,1.12701,1.12654,1.12775,1.12577,1.12644,1.1239,-1.5993
25/04/2016 16:00:00,1.12510,1.12790,1.12446,1.12668,1.12498,1.12776,1.12434,1.12654,1.1233,-1.6132
25/04/2016 12:00:00,1.12566,1.12683,1.12440,1.12510,1.12551,1.12669,1.12427,1.12498,1.1233,-1.5080
25/04/2016 08:00:00,1.12419,1.12637,1.12316,1.12566,1.12405,1.12624,1.12304,1.12551,1.1236,-1.4718
25/04/2016 04:00:00,1.12279,1.12480,1.12276,1.12419,1.12264,1.12465,1.12261,1.12405,1.1244,-1.3907
25/04/2016 00:00:00,1.12203,1.12388,1.12203,1.12279,1.12157,1.12374,1.12145,1.12264,1.1254,-1.2923
24/04/2016 20:00:00,1.12317,1.12355,1.12185,1.12203,1.12181,1.12247,1.12142,1.12157,1.1264,-1.3122
22/04/2016 20:00:00,1.12237,1.12385,1.12189,1.12317,1.12223,1.12372,1.12163,1.12181,1.1275,-1.3122
22/04/2016 16:00:00,1.12569,1.12711,1.12226,1.12237,1.12556,1.12698,1.12212,1.12223,1.1297,-1.3424
22/04/2016 12:00:00,1.12738,1.12841,1.12498,1.12569,1.12726,1.12827,1.12485,1.12556,1.1302,-1.5319
22/04/2016 08:00:00,1.12953,1.13062,1.12654,1.12738,1.12938,1.13048,1.12635,1.12726,1.1305,-1.7108
22/04/2016 04:00:00,1.12983,1.13095,1.12923,1.12953,1.12970,1.13083,1.12908,1.12938,1.1306,-1.7467
22/04/2016 00:00:00,1.12889,1.13000,1.12827,1.12983,1.12861,1.12985,1.12808,1.12970,1.1305,-1.7115
21/04/2016 20:00:00,1.12986,1.13023,1.12849,1.12889,1.12973,1.13009,1.12835,1.12861,1.1311,-1.6414
21/04/2016 16:00:00,1.13772,1.13913,1.12704,1.12986,1.13758,1.13907,1.12686,1.12973,1.1321,-1.7641
21/04/2016 12:00:00,1.12939,1.14005,1.12858,1.13772,1.12926,1.13983,1.12845,1.13758,1.1319,-1.8991
21/04/2016 08:00:00,1.12936,1.13115,1.12835,1.12939,1.12921,1.13101,1.12824,1.12926,1.1329,-1.6081
21/04/2016 04:00:00,1.12996,1.13054,1.12874,1.12936,1.12982,1.13039,1.12859,1.12921,1.1338,-1.5882
21/04/2016 00:00:00,1.12978,1.13071,1.12952,1.12996,1.12947,1.13057,1.12928,1.12982,1.1346,-1.5663
20/04/2016 20:00:00,1.13281,1.13282,1.12912,1.12978,1.13267,1.13269,1.12897,1.12947,1.1358,-1.5871
20/04/2016 16:00:00,1.13665,1.13685,1.13186,1.13281,1.13652,1.13672,1.13174,1.13267,1.1362,-1.6881
20/04/2016 12:00:00,1.13665,1.13892,1.13615,1.13665,1.13652,1.13875,1.13601,1.13652,1.1357,-1.8273
20/04/2016 08:00:00,1.13619,1.13692,1.13495,1.13665,1.13605,1.13677,1.13483,1.13652,1.1351,-1.8494
20/04/2016 04:00:00,1.13584,1.13744,1.13581,1.13619,1.13570,1.13732,1.13564,1.13605,1.1344,-1.9595
20/04/2016 00:00:00,1.13588,1.13634,1.13547,1.13584,1.13560,1.13620,1.13533,1.13570,1.1337,-1.9085
19/04/2016 20:00:00,1.13767,1.13835,1.13571,1.13588,1.13753,1.13822,1.13556,1.13560,1.1332,-1.9642
19/04/2016 16:00:00,1.13546,1.13854,1.13541,1.13767,1.13533,1.13841,1.13529,1.13753,1.1323,-2.0150
19/04/2016 12:00:00,1.13343,1.13602,1.13263,1.13546,1.13318,1.13590,1.13250,1.13533,1.1315,-1.8545
19/04/2016 08:00:00,1.13248,1.13452,1.13156,1.13343,1.13234,1.13441,1.13144,1.13318,1.1309,-1.7610
19/04/2016 04:00:00,1.13111,1.13267,1.13111,1.13248,1.13097,1.13252,1.13097,1.13234,1.1305,-1.7579
19/04/2016 00:00:00,1.13161,1.13175,1.13042,1.13111,1.13098,1.13148,1.13028,1.13097,1.1303,-1.6249
18/04/2016 20:00:00,1.13253,1.13303,1.13077,1.13161,1.13241,1.13289,1.13065,1.13098,1.1298,-1.6993
18/04/2016 16:00:00,1.13080,1.13329,1.12976,1.13253,1.13066,1.13315,1.12965,1.13241,1.1294,-1.7425
18/04/2016 12:00:00,1.13026,1.13204,1.12970,1.13080,1.13013,1.13189,1.12957,1.13066,1.1290,-1.6294
18/04/2016 08:00:00,1.12873,1.13106,1.12745,1.13026,1.12858,1.13093,1.12731,1.13013,1.1284,-1.5902
18/04/2016 04:00:00,1.12959,1.12983,1.12770,1.12873,1.12945,1.12968,1.12758,1.12858,1.1281,-1.5660
18/04/2016 00:00:00,1.13069,1.13082,1.12902,1.12959,1.13002,1.13063,1.12881,1.12945,1.1275,-1.6168
17/04/2016 20:00:00,1.12879,1.13235,1.12879,1.13069,1.12745,1.13164,1.12745,1.13002,1.1270,-1.6496
15/04/2016 20:00:00,1.12987,1.13122,1.12813,1.12879,1.12972,1.13107,1.12745,1.12745,1.1268,-1.6496
15/04/2016 16:00:00,1.12751,1.13177,1.12729,1.12987,1.12740,1.13164,1.12716,1.12972,1.1265,-1.6778
15/04/2016 12:00:00,1.12657,1.12985,1.12580,1.12751,1.12640,1.12966,1.12566,1.12740,1.1264,-1.5857
15/04/2016 08:00:00,1.12634,1.12721,1.12467,1.12657,1.12621,1.12708,1.12451,1.12640,1.1264,-1.4985
15/04/2016 04:00:00,1.12562,1.12646,1.12544,1.12634,1.12548,1.12632,1.12529,1.12621,1.1264,-1.5295
15/04/2016 00:00:00,1.12698,1.12732,1.12503,1.12562,1.12651,1.12682,1.12489,1.12548,1.1267,-1.4872
14/04/2016 20:00:00,1.12628,1.12766,1.12550,1.12698,1.12614,1.12755,1.12537,1.12651,1.1270,-1.4941
14/04/2016 16:00:00,1.12771,1.12848,1.12485,1.12628,1.12757,1.12835,1.12475,1.12614,1.1277,-1.4574
14/04/2016 12:00:00,1.12687,1.12958,1.12500,1.12771,1.12669,1.12943,1.12488,1.12757,1.1286,-1.4370
14/04/2016 08:00:00,1.12625,1.12724,1.12347,1.12687,1.12611,1.12710,1.12332,1.12669,1.1300,-1.5484
14/04/2016 04:00:00,1.12667,1.12740,1.12547,1.12625,1.12652,1.12725,1.12532,1.12611,1.1317,-1.4773
