Date,"GBP/USD(Open, Ask)","GBP/USD(High, Ask)","GBP/USD(Low, Ask)","GBP/USD(Close, Ask)","GBP/USD(Open, Bid)*","GBP/USD(High, Bid)*","GBP/USD(Low, Bid)*","GBP/USD(Close, Bid)*","HISTORICAL SSI(GBP/USD, SSI).SSI"
15/04/2016 00:00:00,1.41606,1.42429,1.41339,1.42096,1.41507,1.42411,1.41321,1.41952,1.5370
14/04/2016 00:00:00,1.42063,1.42111,1.40913,1.41606,1.42017,1.42068,1.40896,1.41507,1.5370
13/04/2016 00:00:00,1.42759,1.42802,1.41938,1.42063,1.42731,1.42785,1.41920,1.42017,1.5639
12/04/2016 00:00:00,1.42447,1.43492,1.41978,1.42759,1.42343,1.43472,1.41957,1.42731,1.3713
11/04/2016 00:00:00,1.41170,1.42878,1.41079,1.42447,1.41145,1.42861,1.41053,1.42343,1.5387
08/04/2016 00:00:00,1.40583,1.41422,1.40417,1.41319,1.40553,1.41403,1.40399,1.41200,1.8094
07/04/2016 00:00:00,1.41251,1.41583,1.40497,1.40583,1.41206,1.41564,1.40478,1.40553,2.1267
06/04/2016 00:00:00,1.41633,1.41726,1.40063,1.41251,1.41587,1.41706,1.40048,1.41206,1.8320
05/04/2016 00:00:00,1.42661,1.42801,1.41225,1.41633,1.42615,1.42781,1.41207,1.41587,1.8331
04/04/2016 00:00:00,1.42315,1.43224,1.41922,1.42661,1.42185,1.43211,1.41904,1.42615,1.5761
01/04/2016 00:00:00,1.43620,1.43727,1.41719,1.42346,1.43582,1.43709,1.41704,1.42204,1.6596
31/03/2016 00:00:00,1.43803,1.44273,1.43272,1.43620,1.43765,1.44261,1.43251,1.43582,1.1555
30/03/2016 00:00:00,1.43893,1.44603,1.43618,1.43803,1.43796,1.44586,1.43602,1.43765,1.1487
29/03/2016 00:00:00,1.42568,1.44052,1.41954,1.43893,1.42530,1.44035,1.41938,1.43796,1.1837
28/03/2016 00:00:00,1.41376,1.42855,1.41213,1.42568,1.41259,1.42821,1.41196,1.42530,1.5028
25/03/2016 00:00:00,1.41533,1.41621,1.41120,1.41452,1.41479,1.41576,1.41075,1.41323,1.9070
24/03/2016 00:00:00,1.41206,1.41839,1.40582,1.41533,1.41133,1.41822,1.40566,1.41479,1.9312
23/03/2016 00:00:00,1.42096,1.42297,1.40832,1.41206,1.42042,1.42269,1.40814,1.41133,1.9322
22/03/2016 00:00:00,1.43704,1.43987,1.41914,1.42096,1.43668,1.43969,1.41899,1.42042,1.7718
21/03/2016 00:00:00,1.44454,1.44723,1.43662,1.43704,1.44330,1.44665,1.43646,1.43668,1.3320
18/03/2016 00:00:00,1.44856,1.45151,1.44114,1.44854,1.44767,1.45140,1.44097,1.44728,1.0774
17/03/2016 00:00:00,1.42574,1.45040,1.42226,1.44856,1.42558,1.45028,1.42207,1.44767,1.0042
16/03/2016 00:00:00,1.41538,1.42754,1.40538,1.42574,1.41490,1.42729,1.40522,1.42558,1.8030
15/03/2016 00:00:00,1.43042,1.43088,1.41396,1.41538,1.42998,1.43053,1.41382,1.41490,1.8032
14/03/2016 00:00:00,1.43839,1.43909,1.42937,1.43042,1.43708,1.43885,1.42923,1.42998,1.3732
11/03/2016 00:00:00,1.42844,1.44375,1.42553,1.43877,1.42756,1.44358,1.42539,1.43810,1.2103
10/03/2016 00:00:00,1.42184,1.43182,1.41187,1.42844,1.42121,1.43179,1.41171,1.42756,1.2086
09/03/2016 00:00:00,1.42186,1.42422,1.41786,1.42184,1.42107,1.42404,1.41764,1.42121,1.3248
08/03/2016 00:00:00,1.42690,1.42771,1.41743,1.42186,1.42619,1.42750,1.41728,1.42107,1.4914
07/03/2016 00:00:00,1.42210,1.42849,1.41346,1.42690,1.42147,1.42832,1.41332,1.42619,1.1597
04/03/2016 00:00:00,1.41830,1.42495,1.41086,1.42336,1.41718,1.42481,1.41064,1.42224,1.2351
03/03/2016 00:00:00,1.40817,1.41953,1.40339,1.41830,1.40746,1.41936,1.40317,1.41718,1.2746
02/03/2016 00:00:00,1.39551,1.40946,1.39151,1.40817,1.39501,1.40928,1.39135,1.40746,1.3841
01/03/2016 00:00:00,1.39213,1.40198,1.39052,1.39551,1.39112,1.40180,1.39035,1.39501,1.8952
29/02/2016 00:00:00,1.38639,1.39476,1.38368,1.39213,1.38542,1.39458,1.38349,1.39112,2.0238
26/02/2016 00:00:00,1.39641,1.40437,1.38546,1.38786,1.39594,1.40419,1.38531,1.38664,2.2691
25/02/2016 00:00:00,1.39315,1.39975,1.39014,1.39641,1.39242,1.39958,1.38991,1.39594,2.0433
24/02/2016 00:00:00,1.40235,1.40303,1.38793,1.39315,1.40215,1.40264,1.38776,1.39242,2.0484
23/02/2016 00:00:00,1.41529,1.41574,1.40088,1.40235,1.41482,1.41553,1.40070,1.40215,2.2884
22/02/2016 00:00:00,1.42757,1.43091,1.40586,1.41529,1.42612,1.43053,1.40567,1.41482,1.9728
19/02/2016 00:00:00,1.43439,1.44150,1.42479,1.44067,1.43290,1.44043,1.42461,1.43994,1.8995
18/02/2016 00:00:00,1.42996,1.43956,1.42579,1.43439,1.42863,1.43938,1.42558,1.43290,2.0390
17/02/2016 00:00:00,1.43094,1.43401,1.42361,1.42996,1.43016,1.43383,1.42345,1.42863,2.1301
16/02/2016 00:00:00,1.44394,1.45171,1.42770,1.43094,1.44295,1.45153,1.42753,1.43016,2.2205
15/02/2016 00:00:00,1.45120,1.45367,1.44140,1.44394,1.44979,1.45350,1.44125,1.44295,2.0286
12/02/2016 00:00:00,1.44812,1.45715,1.44440,1.45120,1.44742,1.45699,1.44425,1.44979,1.9595
11/02/2016 00:00:00,1.45265,1.45654,1.43839,1.44812,1.45214,1.45631,1.43823,1.44742,1.8907
10/02/2016 00:00:00,1.44767,1.45795,1.44472,1.45265,1.44667,1.45777,1.44347,1.45214,1.8360
09/02/2016 00:00:00,1.44347,1.45167,1.43791,1.44767,1.44287,1.45149,1.43777,1.44667,1.8707
08/02/2016 00:00:00,1.44924,1.45478,1.43521,1.44347,1.44796,1.45463,1.43498,1.44287,1.9487
05/02/2016 00:00:00,1.45919,1.45956,1.44532,1.45050,1.45875,1.45902,1.44514,1.44975,1.6909
04/02/2016 00:00:00,1.46043,1.46700,1.45308,1.45919,1.46016,1.46683,1.45289,1.45875,1.5147
03/02/2016 00:00:00,1.44140,1.46502,1.43848,1.46043,1.44068,1.46485,1.43833,1.46016,1.1965
02/02/2016 00:00:00,1.44358,1.44473,1.43271,1.44140,1.44306,1.44453,1.43257,1.44068,1.7720
01/02/2016 00:00:00,1.42554,1.44457,1.42297,1.44358,1.42484,1.44443,1.42275,1.44306,1.3250
29/01/2016 00:00:00,1.43649,1.44143,1.41504,1.42480,1.43570,1.44128,1.41487,1.42421,2.2343
28/01/2016 00:00:00,1.42358,1.44083,1.42344,1.43649,1.42310,1.44069,1.42310,1.43570,1.8509
27/01/2016 00:00:00,1.43527,1.43560,1.42309,1.42358,1.43495,1.43545,1.42294,1.42310,2.3085
