Date,"GBP/USD(Open, Ask)","GBP/USD(High, Ask)","GBP/USD(Low, Ask)","GBP/USD(Close, Ask)","GBP/USD(Open, Bid)*","GBP/USD(High, Bid)*","GBP/USD(Low, Bid)*","GBP/USD(Close, Bid)*","HISTORICAL SSI(GBP/USD, SSI).SSI"
08/05/2016 00:00:00,1.44356,1.44356,1.44356,1.44356,1.44231,1.44231,1.44231,1.44231,-1.2149
06/05/2016 23:00:00,1.44302,1.44385,1.44254,1.44356,1.44285,1.44372,1.44204,1.44231,-1.2149
06/05/2016 22:00:00,1.44210,1.44335,1.44210,1.44302,1.44190,1.44320,1.44190,1.44285,-1.2149
06/05/2016 21:00:00,1.44387,1.44403,1.44158,1.44210,1.44366,1.44386,1.44143,1.44190,-1.2149
06/05/2016 20:00:00,1.44635,1.44672,1.44340,1.44387,1.44616,1.44654,1.44324,1.44366,-1.2149
06/05/2016 19:00:00,1.44388,1.44641,1.44335,1.44635,1.44370,1.44624,1.44317,1.44616,-1.2149
06/05/2016 18:00:00,1.44324,1.44499,1.44289,1.44388,1.44307,1.44482,1.44273,1.44370,-1.2149
06/05/2016 17:00:00,1.44721,1.44782,1.44298,1.44324,1.44701,1.44766,1.44283,1.44307,-1.2149
06/05/2016 16:00:00,1.44566,1.44757,1.44427,1.44721,1.44546,1.44737,1.44411,1.44701,-1.2149
06/05/2016 15:00:00,1.44821,1.45485,1.44235,1.44566,1.44803,1.45423,1.44214,1.44546,-1.2149
06/05/2016 14:00:00,1.45060,1.45081,1.44808,1.44821,1.45045,1.45064,1.44791,1.44803,-1.2149
06/05/2016 13:00:00,1.45124,1.45153,1.44913,1.45060,1.45108,1.45136,1.44895,1.45045,-1.2149
06/05/2016 12:00:00,1.44901,1.45239,1.44748,1.45124,1.44886,1.45220,1.44733,1.45108,-1.2149
06/05/2016 11:00:00,1.44831,1.45006,1.44813,1.44901,1.44812,1.44991,1.44793,1.44886,-1.2149
06/05/2016 10:00:00,1.44817,1.44863,1.44571,1.44831,1.44796,1.44846,1.44553,1.44812,-1.2149
06/05/2016 09:00:00,1.44735,1.44864,1.44668,1.44817,1.44716,1.44846,1.44650,1.44796,-1.2149
06/05/2016 08:00:00,1.44811,1.44824,1.44721,1.44735,1.44792,1.44805,1.44702,1.44716,-1.2149
06/05/2016 07:00:00,1.44783,1.44850,1.44778,1.44811,1.44767,1.44834,1.44761,1.44792,-1.2149
06/05/2016 06:00:00,1.44841,1.44872,1.44768,1.44783,1.44823,1.44855,1.44751,1.44767,-1.2149
06/05/2016 05:00:00,1.44847,1.44902,1.44836,1.44841,1.44830,1.44883,1.44817,1.44823,-1.2149
06/05/2016 04:00:00,1.44825,1.44952,1.44797,1.44847,1.44809,1.44938,1.44781,1.44830,-1.2149
06/05/2016 03:00:00,1.44921,1.44925,1.44764,1.44825,1.44899,1.44902,1.44748,1.44809,-1.2149
06/05/2016 02:00:00,1.44892,1.44948,1.44883,1.44921,1.44868,1.44933,1.44865,1.44899,-1.2149
06/05/2016 01:00:00,1.44874,1.44933,1.44842,1.44892,1.44837,1.44902,1.44811,1.44868,-1.2149
06/05/2016 00:00:00,1.44876,1.44885,1.44825,1.44874,1.44833,1.44840,1.44776,1.44837,-1.2149
05/05/2016 23:00:00,1.44819,1.44879,1.44808,1.44876,1.44803,1.44860,1.44788,1.44833,-1.2149
05/05/2016 22:00:00,1.44775,1.44881,1.44760,1.44819,1.44758,1.44864,1.44745,1.44803,-1.2149
05/05/2016 21:00:00,1.44750,1.44783,1.44689,1.44775,1.44733,1.44767,1.44673,1.44758,-1.2149
05/05/2016 20:00:00,1.44882,1.44895,1.44672,1.44750,1.44866,1.44878,1.44656,1.44733,-1.2149
05/05/2016 19:00:00,1.44865,1.44931,1.44724,1.44882,1.44848,1.44918,1.44706,1.44866,-1.2149
05/05/2016 18:00:00,1.44970,1.45066,1.44843,1.44865,1.44952,1.45047,1.44831,1.44848,-1.2149
05/05/2016 17:00:00,1.44791,1.45041,1.44703,1.44970,1.44773,1.45026,1.44685,1.44952,-1.2149
05/05/2016 16:00:00,1.45173,1.45206,1.44726,1.44791,1.45155,1.45186,1.44708,1.44773,-1.2149
05/05/2016 15:00:00,1.44902,1.45176,1.44902,1.45173,1.44886,1.45159,1.44886,1.45155,-1.2149
05/05/2016 14:00:00,1.44623,1.44953,1.44449,1.44902,1.44607,1.44937,1.44432,1.44886,-1.2149
05/05/2016 13:00:00,1.44897,1.44900,1.44454,1.44623,1.44880,1.44883,1.44437,1.44607,-1.2149
05/05/2016 12:00:00,1.45057,1.45185,1.44828,1.44897,1.45038,1.45165,1.44812,1.44880,-1.2149
05/05/2016 11:00:00,1.44802,1.45187,1.44680,1.45057,1.44785,1.45166,1.44662,1.45038,-1.2149
05/05/2016 10:00:00,1.45109,1.45111,1.44788,1.44802,1.45095,1.45097,1.44774,1.44785,-1.2149
05/05/2016 09:00:00,1.45230,1.45305,1.45109,1.45109,1.45211,1.45287,1.45093,1.45095,-1.2149
05/05/2016 08:00:00,1.45141,1.45283,1.45141,1.45230,1.45125,1.45266,1.45125,1.45211,-1.2149
05/05/2016 07:00:00,1.45187,1.45198,1.45108,1.45141,1.45171,1.45182,1.45090,1.45125,-1.2149
05/05/2016 06:00:00,1.45179,1.45222,1.45160,1.45187,1.45163,1.45203,1.45143,1.45171,-1.2149
05/05/2016 05:00:00,1.45117,1.45223,1.45099,1.45179,1.45101,1.45204,1.45080,1.45163,-1.2149
05/05/2016 04:00:00,1.45018,1.45173,1.45013,1.45117,1.45000,1.45152,1.44994,1.45101,-1.2149
05/05/2016 03:00:00,1.45058,1.45073,1.44979,1.45018,1.45041,1.45055,1.44961,1.45000,-1.2149
05/05/2016 02:00:00,1.45007,1.45107,1.45007,1.45058,1.44981,1.45084,1.44981,1.45041,-1.2149
05/05/2016 01:00:00,1.45006,1.45056,1.44992,1.45007,1.44935,1.45020,1.44935,1.44981,-1.2149
05/05/2016 00:00:00,1.45003,1.45029,1.44989,1.45006,1.44917,1.44987,1.44913,1.44935,-1.2149
04/05/2016 23:00:00,1.44972,1.45003,1.44915,1.45003,1.44955,1.44977,1.44892,1.44917,-1.2149
04/05/2016 22:00:00,1.45006,1.45016,1.44960,1.44972,1.44991,1.44999,1.44941,1.44955,-1.2149
04/05/2016 21:00:00,1.44953,1.45029,1.44876,1.45006,1.44937,1.45013,1.44860,1.44991,-1.2149
